County, FIPS,Value_Index
"Christian County, Illinois",17021,0.1808
"Clark County, Illinois",17023,0.071
"Clay County, Illinois",17025,0.3997
"Clinton County, Illinois",17027,0.1321
"Coles County, Illinois",17029,0.5407
"Cook County, Illinois",17031,0.8004
"Crawford County, Illinois",17033,0.4157
"Cumberland County, Illinois",17035,0.0175
"DeKalb County, Illinois",17037,0.4952
"De Witt County, Illinois",17039,0.0439
"Douglas County, Illinois",17041,0.5353
"DuPage County, Illinois",17043,0.2199
"Edgar County, Illinois",17045,0.2521
"Edwards County, Illinois",17047,0.2349
"Effingham County, Illinois",17049,0.2129
"Fayette County, Illinois",17051,0.4726
"Ford County, Illinois",17053,0.2428
"Franklin County, Illinois",17055,0.5471
"Fulton County, Illinois",17057,0.233
"Gallatin County, Illinois",17059,0.4828
"Greene County, Illinois",17061,0.0544
"Grundy County, Illinois",17063,0.0799
"Hamilton County, Illinois",17065,0.3119
"Hancock County, Illinois",17067,0.0891
"Hardin County, Illinois",17069,0.3049
"Henderson County, Illinois",17071,0.0271
"Henry County, Illinois",17073,0.1168
"Iroquois County, Illinois",17075,0.3813
"Jackson County, Illinois",17077,0.789
"Jasper County, Illinois",17079,0.2158
"Jefferson County, Illinois",17081,0.7174
"Jersey County, Illinois",17083,0.0341
"Jo Daviess County, Illinois",17085,0.0894
"Johnson County, Illinois",17087,0.2912
"Kane County, Illinois",17089,0.494
"Kankakee County, Illinois",17091,0.697
"Kendall County, Illinois",17093,0.1222
"Knox County, Illinois",17095,0.6423
"Lake County, Illinois",17097,0.4663
"La Salle County, Illinois",17099,0.3826
"Lawrence County, Illinois",17101,0.4806
"Lee County, Illinois",17103,0.3189
"Livingston County, Illinois",17105,0.3806
"Logan County, Illinois",17107,0.1814
"McDonough County, Illinois",17109,0.4612
"McHenry County, Illinois",17111,0.1152
"McLean County, Illinois",17113,0.2005
"Macon County, Illinois",17115,0.5258
"Macoupin County, Illinois",17117,0.1388
"Madison County, Illinois",17119,0.2581
"Marion County, Illinois",17121,0.5547
"Marshall County, Illinois",17123,0.0681
"Mason County, Illinois",17125,0.1493
"Massac County, Illinois",17127,0.5856
"Menard County, Illinois",17129,0.0165
"Mercer County, Illinois",17131,0.0598
"Monroe County, Illinois",17133,0.0016
"Montgomery County, Illinois",17135,0.2505
"Morgan County, Illinois",17137,0.5245
"Moultrie County, Illinois",17139,0.3558
"Ogle County, Illinois",17141,0.3485
"Peoria County, Illinois",17143,0.6785
"Perry County, Illinois",17145,0.6031
"Piatt County, Illinois",17147,0.0035
"Pike County, Illinois",17149,0.3784
"Pope County, Illinois",17151,0.5086
"Pulaski County, Illinois",17153,0.5271
"Putnam County, Illinois",17155,0.0162
"Randolph County, Illinois",17157,0.4163
